Partido,Sede,Equipo_A,Equipo_B,OV_A,DV_A,MV_A,FA_A,OV_B,DV_B,MV_B,FA_B,lambda_A,lambda_B,P_Victoria_A,P_Empate,P_Victoria_B,Ganador_Pred,Marcador_1,Prob_Marcador_1,Marcador_2,Prob_Marcador_2
México_vs_Sudáfrica,Ciudad de México (Altitud),México,Sudáfrica,84,73,227.99,1.0,53,46,23.4,0.8,1.6258161538622664,0.6841004384796723,0.6005,0.2444,0.1547,México,1-0,0.161394,2-0,0.131198
Corea del Sur_vs_República Checa,Guadalajara (Altitud),Corea del Sur,República Checa,76,59,185.5,0.85,68,66,165.3,0.85,1.1439786627083934,1.0940460123684144,0.3683,0.2882,0.3434,Corea del Sur,1-1,0.133503,1-0,0.122027
Canadá_vs_Bosnia y Herzegovina,Toronto (Neutro),Canadá,Bosnia y Herzegovina,74,68,151.0,1.0,70,58,46.5,0.95,1.3488012533173548,1.050303186547935,0.4356,0.2728,0.2914,Canadá,1-1,0.128631,1-0,0.12247
Estados Unidos_vs_Paraguay,Los Angeles (Neutro),Estados Unidos,Paraguay,80,74,387.3,1.0,73,72,115.4,0.95,1.4554544735193957,1.15002695218344,0.4411,0.2599,0.2988,Estados Unidos,1-1,0.12364,1-0,0.107511
Qatar_vs_Suiza,Santa Clara (Neutro),Qatar,Suiza,59,51,19.8,0.9,81,88,359.3,0.95,0.763159063045662,1.5333062920390224,0.1859,0.2576,0.5563,Suiza,0-1,0.154272,0-2,0.118273
Brasil_vs_Marruecos,East Rutherford (Neutro),Brasil,Marruecos,91,96,947.0,0.95,83,90,522.1,0.9,1.5277430548388389,1.265677316124487,0.4338,0.2507,0.3153,Brasil,1-1,0.11836,1-0,0.093515
Haití_vs_Escocia,Foxborough (Neutro),Haití,Escocia,45,39,7.8,0.95,70,67,178.9,0.95,0.6769830035399834,1.4199194676590674,0.1779,0.2725,0.5495,Escocia,0-1,0.174418,0-2,0.12383
Australia_vs_Turquía,Vancouver (Neutro),Australia,Turquía,69,60,58.2,0.9,87,77,478.1,0.95,0.9719337814256419,1.5684883179924687,0.2343,0.2534,0.5121,Turquía,0-1,0.123649,1-1,0.120178
Alemania_vs_Curazao,Houston (Humedad/Calor),Alemania,Curazao,92,84,1010.0,0.85,42,36,9.5,0.95,1.8229411208144612,0.6190153044205938,0.6631,0.2166,0.1197,Alemania,1-0,0.158579,2-0,0.14454
Países Bajos_vs_Japón,Arlington (Techo Cerrado),Países Bajos,Japón,93,85,782.5,0.95,78,79,275.6,0.9,1.579113382217678,1.1864273427008778,0.4642,0.249,0.2865,Países Bajos,1-1,0.117922,1-0,0.099393
Costa de Marfil_vs_Ecuador,Filadelfia (Neutro),Costa de Marfil,Ecuador,80,70,547.5,0.9,86,81,385.65,0.95,1.3089680333277947,1.4556341302405515,0.3396,0.2539,0.4063,Ecuador,1-1,0.120041,0-1,0.091707
Suecia_vs_Túnez,Guadalupe (Calor/Altitud Moderada),Suecia,Túnez,65,65,473.7,0.85,71,71,39.8,0.85,1.11912708312123,0.9458621948204832,0.3942,0.3011,0.3047,Suecia,1-0,0.141927,1-1,0.134244
España_vs_Cabo Verde,Atlanta (Techo Cerrado),España,Cabo Verde,99,94,1360.0,0.95,47,41,16.2,0.9,2.1094201400750388,0.6398143876079057,0.7141,0.1842,0.1001,España,2-0,0.142337,1-0,0.134954
Bélgica_vs_Egipto,Seattle (Neutro),Bélgica,Egipto,85,76,589.9,0.95,64,62,49.1,0.9,1.564137491034936,0.9169680371575089,0.5246,0.2542,0.221,Bélgica,1-0,0.130841,1-1,0.119977
Arabia Saudita_vs_Uruguay,Miami Gardens (Humedad/Calor),Arabia Saudita,Uruguay,62,54,34.1,0.85,77,87,365.0,0.95,0.7867073974086563,1.4644307217997277,0.2014,0.2663,0.5321,Uruguay,0-1,0.154174,1-1,0.12129
Irán_vs_Nueva Zelanda,Los Angeles (Neutro),Irán,Nueva Zelanda,71,75,53.6,0.9,51,45,14.7,0.9,1.1520992020740368,0.7120944515681011,0.462,0.3108,0.2272,Irán,1-0,0.1786,0-0,0.155021
Francia_vs_Senegal,East Rutherford (Neutro),Francia,Senegal,98,99,1530.0,0.95,82,82,498.3,0.9,1.7231531187214513,1.239164558274908,0.4871,0.237,0.2754,Francia,1-1,0.110391,2-1,0.095111
Irak_vs_Noruega,Foxborough (Neutro),Irak,Noruega,49,43,11.3,0.9,81,64,754.2,0.95,0.7101558058278027,1.738050396441201,0.1485,0.231,0.6201,Noruega,0-1,0.150252,0-2,0.130573
Argentina_vs_Argelia,Kansas City (Calor),Argentina,Argelia,97,98,928.2,0.95,74,61,142.8,0.9,1.7802929994266974,1.0313977309776492,0.5488,0.2327,0.2179,Argentina,1-1,0.110361,1-0,0.107001
Austria_vs_Jordania,Santa Clara (Neutro),Austria,Jordania,75,78,182.5,0.95,61,53,30.0,0.9,1.3525194575653985,0.8415187314859326,0.4875,0.2793,0.2331,Austria,1-0,0.15076,1-1,0.126867
Ghana_vs_Panamá,Toronto (Neutro),Ghana,Panamá,55,48,128.5,0.9,72,63,42.3,0.95,0.9751870005213812,1.1746930546553895,0.3027,0.2934,0.4039,Panamá,0-1,0.13685,1-1,0.133454
Inglaterra_vs_Croacia,Arlington (Techo Cerrado),Inglaterra,Croacia,96,86,1520.0,0.95,88,89,406.08,0.95,1.6595614355181474,1.394647541476561,0.4382,0.2383,0.3231,Inglaterra,1-1,0.109152,2-1,0.090572
Portugal_vs_RD Congo,Houston (Humedad/Calor),Portugal,RD Congo,95,95,1220.0,0.9,60,52,28.7,0.85,1.795772369010836,0.7384488463764713,0.6257,0.225,0.1488,Portugal,1-0,0.142447,2-0,0.127901
Uzbekistán_vs_Colombia,Ciudad de México (Altitud),Uzbekistán,Colombia,63,55,31.5,0.8,89,83,315.7,0.9,0.7522142849739798,1.4833198108717565,0.1897,0.264,0.5462,Colombia,0-1,0.158619,1-1,0.119315
República Checa_vs_Sudáfrica,Atlanta (Techo Cerrado),República Checa,Sudáfrica,68,66,165.3,0.95,53,46,23.4,0.9,1.317554295102498,0.7932426717165684,0.49,0.2849,0.225,República Checa,1-0,0.15961,1-1,0.12661
Suiza_vs_Bosnia y Herzegovina,Los Angeles (Neutro),Suiza,Bosnia y Herzegovina,81,88,359.3,0.95,70,58,46.5,0.95,1.475270209208937,0.9721259923059534,0.4881,0.2628,0.2489,Suiza,1-0,0.127638,1-1,0.12408
Canadá_vs_Qatar,Vancouver (Neutro),Canadá,Qatar,74,68,151.0,1.0,59,51,19.8,0.85,1.4018621371949076,0.7787240906222392,0.5173,0.2743,0.2082,Canadá,1-0,0.158376,1-1,0.123331
México_vs_Corea del Sur,Guadalajara (Altitud),México,Corea del Sur,84,73,227.99,1.0,76,59,185.5,0.85,1.5088399703097144,1.109901010445209,0.464,0.2567,0.2791,México,1-1,0.122074,1-0,0.109986
Estados Unidos_vs_Australia,Seattle (Neutro),Estados Unidos,Australia,80,74,387.3,1.0,69,60,58.2,0.9,1.5372800780854332,0.9835906207176685,0.5014,0.2564,0.2421,Estados Unidos,1-0,0.123581,1-1,0.121553
Escocia_vs_Marruecos,Foxborough (Neutro),Escocia,Marruecos,70,67,178.9,0.95,83,90,522.1,0.9,1.104867866319832,1.4098792723516624,0.2951,0.2653,0.4394,Marruecos,1-1,0.125994,0-1,0.114036
Brasil_vs_Haití,Filadelfia (Neutro),Brasil,Haití,91,96,947.0,0.95,45,39,7.8,0.95,1.9633769532751089,0.6077414199821363,0.6949,0.1988,0.1054,Brasil,1-0,0.1501,2-0,0.147352
Turquía_vs_Paraguay,Santa Clara (Neutro),Turquía,Paraguay,87,77,478.1,0.95,73,72,115.4,0.95,1.4850015762437943,1.1363976240048932,0.4518,0.2579,0.29,Turquía,1-1,0.122687,1-0,0.107961
Países Bajos_vs_Suecia,Houston (Humedad/Calor),Países Bajos,Suecia,93,85,782.5,0.85,65,65,473.7,0.85,1.498037740497246,1.0603060337285501,0.4729,0.2588,0.2682,Países Bajos,1-1,0.122993,1-0,0.115997
Alemania_vs_Costa de Marfil,Toronto (Neutro),Alemania,Costa de Marfil,92,84,1010.0,0.95,80,70,547.5,0.9,1.6689320673496102,1.2947644318492733,0.4619,0.2401,0.2976,Alemania,1-1,0.111561,2-1,0.093094
Ecuador_vs_Curazao,Kansas City (Calor),Ecuador,Curazao,86,81,385.65,0.95,42,36,9.5,0.95,1.777014173279425,0.6258059193593575,0.6513,0.2227,0.1254,Ecuador,1-0,0.160753,2-0,0.14283
Túnez_vs_Japón,Guadalupe (Calor/Altitud Moderada),Túnez,Japón,71,71,39.8,0.85,78,79,275.6,0.85,0.892100426702674,1.182675870891507,0.2766,0.2974,0.4259,Japón,0-1,0.148526,1-1,0.1325
España_vs_Arabia Saudita,Atlanta (Techo Cerrado),España,Arabia Saudita,99,94,1360.0,0.95,62,54,34.1,0.85,1.9421381408526628,0.7686535787926905,0.6494,0.2095,0.1402,España,1-0,0.129121,2-0,0.125386
Bélgica_vs_Irán,Los Angeles (Neutro),Bélgica,Irán,85,76,589.9,0.95,71,75,53.6,0.9,1.477318218523645,0.9844860174681345,0.4856,0.2624,0.2518,Bélgica,1-0,0.125987,1-1,0.124033
Uruguay_vs_Cabo Verde,Miami Gardens (Humedad/Calor),Uruguay,Cabo Verde,77,87,365.0,0.95,47,41,16.2,0.85,1.5905663934660974,0.6184619685772734,0.6098,0.2475,0.1425,Uruguay,1-0,0.174656,2-0,0.138901
Nueva Zelanda_vs_Egipto,Vancouver (Neutro),Nueva Zelanda,Egipto,51,45,14.7,0.9,64,62,49.1,0.9,0.7539429317867044,1.0730859811025768,0.2538,0.3199,0.4263,Egipto,0-1,0.17265,0-0,0.160891
Argentina_vs_Austria,Arlington (Techo Cerrado),Argentina,Austria,97,98,928.2,0.95,75,78,182.5,0.95,1.6537202856463127,1.1247563657996889,0.4967,0.2439,0.259,Argentina,1-1,0.11557,1-0,0.102751
Francia_vs_Irak,Filadelfia (Neutro),Francia,Irak,98,99,1530.0,0.95,49,43,11.3,0.9,2.0913537019298944,0.6230416439383466,0.7151,0.1851,0.0984,Francia,2-0,0.14487,1-0,0.138542
Noruega_vs_Senegal,East Rutherford (Neutro),Noruega,Senegal,81,64,754.2,0.95,82,82,498.3,0.9,1.4320518611266,1.4124254999591188,0.379,0.2505,0.3702,Noruega,1-1,0.117648,2-1,0.084239
Jordania_vs_Argelia,Santa Clara (Neutro),Jordania,Argelia,61,53,30.0,0.9,74,61,142.8,0.9,0.905927029833421,1.2402557051937677,0.2703,0.2902,0.4395,Argelia,0-1,0.145023,1-1,0.13138
Inglaterra_vs_Ghana,Foxborough (Neutro),Inglaterra,Ghana,96,86,1520.0,0.95,55,48,128.5,0.9,1.9972754556306476,0.8882608741600966,0.631,0.2085,0.1594,Inglaterra,1-0,0.111498,2-0,0.111346
Panamá_vs_Croacia,Toronto (Neutro),Panamá,Croacia,72,63,42.3,0.95,88,89,406.08,0.95,0.9760673153926789,1.5311291899950523,0.2411,0.2571,0.5016,Croacia,0-1,0.124782,1-1,0.121795
Portugal_vs_Uzbekistán,Houston (Humedad/Calor),Portugal,Uzbekistán,95,95,1220.0,0.9,63,55,31.5,0.85,1.7658080044853994,0.7674973091459328,0.6114,0.2294,0.1586,Portugal,1-0,0.140198,2-0,0.123782
Colombia_vs_RD Congo,Guadalajara (Altitud),Colombia,RD Congo,89,83,315.7,0.95,60,52,28.7,0.85,1.5922956061936975,0.7689782747370548,0.5697,0.2503,0.1798,Colombia,1-0,0.150154,2-0,0.119544
Escocia_vs_Brasil,Miami Gardens (Humedad/Calor),Escocia,Brasil,70,67,178.9,0.85,91,96,947.0,0.95,0.969609911344701,1.6691702289530457,0.2189,0.2432,0.5376,Brasil,0-1,0.119259,1-1,0.115635
Marruecos_vs_Haití,Atlanta (Techo Cerrado),Marruecos,Haití,83,90,522.1,0.9,45,39,7.8,0.95,1.658383562215692,0.6196228904411167,0.6259,0.2382,0.1357,Marruecos,1-0,0.169965,2-0,0.140934
Suiza_vs_Canadá,Vancouver (Neutro),Suiza,Canadá,81,88,359.3,0.95,74,68,151.0,1.0,1.4065244850734266,1.1902318216912173,0.4194,0.2623,0.3182,Suiza,1-1,0.124745,1-0,0.104807
Bosnia y Herzegovina_vs_Qatar,Seattle (Neutro),Bosnia y Herzegovina,Qatar,70,58,46.5,0.95,59,51,19.8,0.9,1.1449757907332214,0.8648314403608106,0.4212,0.3034,0.2754,Bosnia y Herzegovina,1-0,0.153443,0-0,0.134015
República Checa_vs_México,Ciudad de México (Altitud),República Checa,México,68,66,165.3,0.8,84,73,227.99,1.0,0.9659739045709377,1.4589338577720785,0.2499,0.2646,0.4853,México,0-1,0.129096,1-1,0.124703
Sudáfrica_vs_Corea del Sur,Guadalupe (Calor/Altitud Moderada),Sudáfrica,Corea del Sur,53,46,23.4,0.85,76,59,185.5,0.85,0.7748008028339097,1.2748343453659305,0.2264,0.2911,0.4825,Corea del Sur,0-1,0.164176,0-0,0.128782
Ecuador_vs_Alemania,East Rutherford (Neutro),Ecuador,Alemania,86,81,385.65,0.95,92,84,1010.0,0.95,1.3781543369147764,1.597432683069121,0.3303,0.2425,0.4268,Alemania,1-1,0.112315,1-2,0.089708
Curazao_vs_Costa de Marfil,Filadelfia (Neutro),Curazao,Costa de Marfil,42,36,9.5,0.95,80,70,547.5,0.9,0.6538163252985373,1.6694899002422259,0.1426,0.2378,0.6192,Costa de Marfil,0-1,0.163525,0-2,0.136502
Túnez_vs_Países Bajos,Kansas City (Calor),Túnez,Países Bajos,71,71,39.8,0.9,93,85,782.5,0.95,0.924059168592875,1.6305117647853171,0.2132,0.2471,0.5394,Países Bajos,0-1,0.126732,1-1,0.117108
Japón_vs_Suecia,Arlington (Techo Cerrado),Japón,Suecia,78,79,275.6,0.9,65,65,473.7,0.95,1.2858574271803718,1.211360652273902,0.3827,0.27,0.3472,Japón,1-1,0.128215,1-0,0.105844
Estados Unidos_vs_Turquía,Los Angeles (Neutro),Estados Unidos,Turquía,80,74,387.3,1.0,87,77,478.1,0.95,1.426432274615935,1.472845348953281,0.3657,0.2477,0.3864,Turquía,1-1,0.115683,1-2,0.085191
Paraguay_vs_Australia,Santa Clara (Neutro),Paraguay,Australia,73,72,115.4,0.95,69,60,58.2,0.9,1.2247068853210785,0.99170875148731,0.4146,0.2874,0.298,Paraguay,1-0,0.133492,1-1,0.132385
Noruega_vs_Francia,Foxborough (Neutro),Noruega,Francia,81,64,754.2,0.95,98,99,1530.0,0.95,1.3533569058263204,1.8561541210581933,0.2805,0.2264,0.4924,Francia,1-1,0.101427,1-2,0.094132
Senegal_vs_Irak,Toronto (Neutro),Senegal,Irak,82,82,498.3,0.9,49,43,11.3,0.9,1.5913987230519833,0.659270250087147,0.5988,0.2484,0.1525,Senegal,1-0,0.16762,2-0,0.133375
Uruguay_vs_España,Guadalajara (Altitud),Uruguay,España,77,87,365.0,0.95,99,94,1360.0,0.85,1.2400768585975452,1.5060444495171283,0.3128,0.2531,0.4339,España,1-1,0.119856,0-1,0.096652
Cabo Verde_vs_Arabia Saudita,Houston (Humedad/Calor),Cabo Verde,Arabia Saudita,47,41,16.2,0.85,62,54,34.1,0.85,0.7135931070378486,0.9859022383723711,0.2563,0.3358,0.4079,Arabia Saudita,0-0,0.182776,0-1,0.180199
Nueva Zelanda_vs_Bélgica,Vancouver (Neutro),Nueva Zelanda,Bélgica,51,45,14.7,0.9,85,76,589.9,0.95,0.7092705101019801,1.7219822819252504,0.15,0.2329,0.6166,Bélgica,0-1,0.151408,0-2,0.130361
Egipto_vs_Irán,Seattle (Neutro),Egipto,Irán,64,62,49.1,0.9,71,75,53.6,0.9,0.9206189207433276,1.046492507077759,0.3115,0.3107,0.3778,Irán,0-1,0.146363,0-0,0.13986
Panamá_vs_Inglaterra,East Rutherford (Neutro),Panamá,Inglaterra,72,63,42.3,0.95,96,86,1520.0,0.95,0.9861596681811498,1.8408066365650875,0.1994,0.2264,0.5735,Inglaterra,0-1,0.108961,1-1,0.107453
Croacia_vs_Ghana,Filadelfia (Neutro),Croacia,Ghana,88,89,406.08,0.95,55,48,128.5,0.9,1.6612753832108558,0.87917041710789,0.5582,0.2435,0.198,Croacia,1-0,0.13096,1-1,0.115137
Colombia_vs_Portugal,Miami Gardens (Humedad/Calor),Colombia,Portugal,89,83,315.7,0.95,95,95,1220.0,0.9,1.3289468687464787,1.5607338881654256,0.325,0.2464,0.4283,Portugal,1-1,0.115309,1-2,0.089984
RD Congo_vs_Uzbekistán,Atlanta (Techo Cerrado),RD Congo,Uzbekistán,60,52,28.7,0.9,63,55,31.5,0.9,0.9211964906510673,0.9736806150113427,0.3266,0.3186,0.3547,Uzbekistán,0-0,0.150337,0-1,0.14638
Argentina_vs_Jordania,Arlington (Techo Cerrado),Argentina,Jordania,97,98,928.2,0.95,61,53,30.0,0.9,1.8569819128953169,0.785822293700434,0.627,0.2196,0.1527,Argentina,1-0,0.132146,2-0,0.122696
Argelia_vs_Austria,Kansas City (Calor),Argelia,Austria,74,61,142.8,0.9,75,78,182.5,0.95,1.1044997287397538,1.2966636374706637,0.316,0.2749,0.409,Austria,1-1,0.129772,0-1,0.117494
